year,country,life_evaluation,gdp_per_capita,pm2_5,intentional_homicide_rate,healthy_life_expectancy,degree_of_urbanization,sdg_index_score
2012,Colombia,6.416,15279.479000805788,18.5684399142815,35.9613009153726,67.04399187,79.638,67.98951726933197
2012,Comoros,3.851,3330.5244605918742,11.2597161414589,,58.30750825,81.252,50.7526112745098
2012,Congo,4.297,,,,53.29986936,88.354,
2012,Costa Rica,7.257,19970.68560136275,18.5556568857618,8.72653951862736,69.2949856,73.274,71.36743737373736
2012,Croatia,5.661,28259.163807394827,20.5974954444333,1.19739770261642,67.37374372,55.18,76.52267044817928
2012,Cyprus,6.466,39190.22265625,24.8549561269072,1.88776871744135,70.5910277,73.984,73.12684852761618
2012,Czechia,6.29,39347.0492956846,18.3649701006501,0.999301916232803,67.44204182,59.421,79.86918167700355
2012,DR Congo,4.578,,,,,,
2012,Denmark,7.693,60161.70106602562,9.66883000239718,0.840498959524879,69.25649466,63.553,84.37928850691793
2012,Djibouti,4.69,,46.8649547654421,,55.29960717,90.191,45.69681918767508
2012,Dominican Republic,4.963,15487.277635632054,11.9047106498909,22.5214243986665,64.10236522,84.846,66.84427321959087
2012,Ecuador,5.865,12961.026742376513,18.0424343279012,12.3425125579607,66.06980989,76.305,66.79248641456581
2012,Egypt,4.273,,,,61.17590333,96.531,
2012,El Salvador,5.809,9162.562126135077,28.8449690841345,42.4273897096406,65.00252012,76.635,64.51796977760802
2012,Estonia,5.426,33765.43020750718,8.66776188531885,4.76328730334428,66.44041383,63.43,77.75141982853746
2012,Ethiopia,4.561,1576.7687573393341,24.5351118806919,8.51054794891045,56.71607505,58.035,48.39472628968254
2012,Finland,7.389,53957.66809862787,6.69926003675058,1.64389487458514,69.05624378,59.486,86.38581858043916
2012,France,6.764,49935.626908161736,13.9323322128474,1.22388195514924,70.00449094,62.189,80.49067490450724
2012,Gabon,4.114,19450.402706679015,29.5648483349918,,54.33531818,79.983,58.82671981792717
2012,Georgia,4.187,13193.959697405353,18.5215256244454,,63.62084353,64.831,68.75645842882608
2012,Germany,6.672,58110.376851224464,12.9545311145046,0.814420905242925,69.19733035,72.29,81.18214186401833
2012,Ghana,5.091,5339.7132190304455,29.0418637003495,2.09468981730321,55.40156191,75.064,58.29521805449452
2012,Greece,5.435,31250.22685659556,17.7408338148344,1.50249393628294,69.20302115,67.399,75.0695663441134
2012,Guatemala,5.965,10126.83305662243,29.6585058561654,34.1624967821479,61.70783699,73.005,58.20294822171292
2012,Guinea,3.847,2762.903509385131,29.4976600174044,,51.53863423,50.898,50.11462915499533
2012,Haiti,4.341,3266.43832519352,13.6823892132522,10.2584264457666,53.20168201,79.067,49.24405142602496
2012,Honduras,5.142,5600.6077605497,28.4877328595734,82.2941714854712,60.28447761,54.674,58.59171416687887
2012,Hong Kong SAR of China,5.523,,,,,,
2012,Hungary,4.775,28179.656464434003,20.2847528931058,1.2504256741433,65.48443968,62.635,79.33833524045397
2012,Iceland,7.355,58203.63794595362,4.28469553971635,0.311681349455571,70.95868842,73.974,81.72543720821662
2012,India,4.772,5303.501977676549,53.0196291324327,3.71306379435684,58.56535664,81.051,58.33670823996265
2012,Indonesia,5.348,9708.611825310807,20.1620125202947,,61.91979631,85.377,64.0229918767507
2012,Iran,4.643,,,,,,
2012,Iraq,4.817,13357.014388232257,53.0903644919475,8.01370560566433,61.40384556,85.316,57.7897006302521
2012,Ireland,7.076,59303.03198135613,8.18207039845128,1.10866383834203,69.28346489,54.137,78.34909503862151
2012,Israel,7.301,39245.507811768664,20.7683305581639,1.68248807914477,70.60439883,92.767,71.45936921281333
2012,Italy,6.021,47795.957936054125,19.0010283847063,0.87557696185202,70.56086005,76.352,77.32928940242766
2012,Jamaica,5.374,9829.035100150444,20.6965656842447,39.7485238581317,65.1363361,74.82,66.42691471437061
2012,Japan,6.064,42394.943317506404,13.3798864588537,0.335344134410932,72.54169749,91.155,78.6264646167558
2012,Jordan,5.414,12104.1217423938,31.5006699984411,2.21427674702976,66.46730966,91.604,66.06986341142519
2012,Kazakhstan,5.671,28881.241756372758,20.7632597816078,7.31533714170016,61.05473679,74.121,69.32829153589465
2012,Kenya,4.403,4387.937900754086,21.0458966700434,5.40918613326198,54.90716869,70.414,56.21734014939309
2012,Kosovo,5.222,8431.662326946565,,4.98192116165116,,,
2012,Kuwait,6.515,64908.262639237,66.1535213079572,1.8279755171148,69.62826452,95.953,58.33616537647538
2012,Kyrgyzstan,5.042,,,,61.83159002,75.07,
2012,Lao PDR,4.787,5608.969563370594,26.4076206054393,,,,57.48667529761904
2012,Latvia,5.046,27496.545458363544,17.834456118302,3.44042305407829,64.56782742,58.098,78.74412540106952
2012,Lebanon,4.931,17323.30137642822,25.2379752530515,3.70530098694703,66.60195663,88.885,64.63045652517417
2012,Lesotho,4.898,2894.2270504814223,27.0707996930906,,42.73575573,36.833,50.13098586309525
2012,Liberia,4.196,1668.972895887763,18.6592253145268,3.08709483452429,52.01646646,55.403,47.84757402776962
2012,Libya,5.34,20601.00266410003,19.5989872312007,,63.83117625,75.185,53.72252908163266
2012,Lithuania,5.426,30932.098318026077,16.4159435450745,6.75962941837572,64.13359705,58.006,75.7332086113233
2012,Luxembourg,7.054,128897.40321850652,13.1146493036684,,70.43105011,62.852,75.42663565566379
2012,Madagascar,3.966,1617.7908288248098,13.6814418008791,,55.38585999,37.52,48.82864463118581
2012,Malawi,4.113,1518.1480384923818,18.8598593107935,1.77598671180007,52.12809136,55.439,50.3928045319264
2012,Malaysia,5.76,25006.358778153717,18.5246158481105,2.02947587841498,65.49192273,80.739,67.08456071428573
2012,Mali,4.247,2520.529310868043,44.070314828068,,51.65389321,43.602,50.53732058531746
2012,Malta,5.964,38937.14877556738,12.9665997589316,2.81287028800276,70.28808549,94.164,76.23730845004668
2012,Mauritania,4.758,5716.251954142849,54.1025855948907,,60.60371333,56.572,50.54398467023174
2012,Mauritius,5.477,20313.032894146854,15.4132045281263,2.17194008548136,64.007356,91.482,64.5060753645048
2012,Mexico,7.088,20898.93572090796,16.8850710128223,22.2285552341782,65.1809795,77.493,66.29948117307529
2012,Mongolia,4.834,12078.918532006182,43.5127011393132,7.11868784339173,59.64088763,66.033,63.59010406520563
2012,Montenegro,5.299,19576.412051459018,24.1979418272443,2.68333491176563,66.68864336,81.157,69.5507952508276
2012,Morocco,4.885,7628.64404296875,18.1645611167978,1.14824532150367,62.76038495,76.421,66.86530884687208
2012,Mozambique,4.971,1338.5159486610426,15.9840326414074,,46.59120691,50.495,49.90164990662933
2012,Myanmar,4.439,4340.999450691742,34.2629904984601,2.88136755643538,58.22744535,68.882,55.55074035735505
2012,Nepal,4.156,3316.500734520208,54.5107288886808,2.33158518920432,60.04891159,70.68,60.69238887987013
2012,Netherlands,7.512,61480.84164163235,13.057940983087,0.857217506852641,,83.766,78.71118020019196
2012,New Zealand,7.221,42693.423451657094,6.61667168493178,0.929351914175937,69.2666896,74.208,77.21701337031023
2012,Nicaragua,5.507,6275.787302480032,19.8316265447103,11.4042929452756,66.22468329,65.563,63.02318739495798
2012,Niger,4.152,1411.5200140983138,62.3698389723865,4.41784034939735,51.62439969,51.133,44.84976348755411
2012,Nigeria,5.248,8265.90551181051,59.6227203937751,,52.63054275,79.984,51.3896807274425
2012,North Cyprus,5.463,,,,,,
2012,North Macedonia,4.574,17189.995630545585,28.7826561726187,1.43048214400664,65.62949139,71.096,68.78562784541847
2012,Norway,7.655,85925.87233520574,6.94681114643302,0.538013921608383,70.13404373,62.946,82.42852330479977
2012,Oman,6.853,41964.08285785523,54.1182539525814,1.09948801917507,64.18773593,73.166,61.23684452380954
2012,Pakistan,5.292,4292.021102934858,55.9102316841118,6.66740103101875,56.00246058,84.592,53.31900569038805
2012,Panama,7.143,26926.89569280648,16.0341321648034,16.9448445310514,67.1379723,66.382,66.75131125541124
2012,Paraguay,5.779,12833.180161941267,14.1010144483119,11.0055811353826,64.85476708,62.008,64.29989319534633
2012,Peru,5.776,13393.592385167878,28.7081917720721,6.65981599009637,68.8422807,71.308,66.62467187420422
2012,Philippines,4.985,6697.5562096276835,22.5654937983005,8.46913560836537,61.27801696,82.664,61.74238426704014
2012,Poland,5.822,28952.915730530058,23.6753724603608,1.0693406632409,66.67028831,59.883,78.3715655439332
2012,Portugal,5.101,34804.63333404844,8.72868716918715,1.16045143463187,68.94101346,70.101,77.72711722264661
2012,Qatar,6.666,147077.4060926366,107.019658452499,0.367046174933158,65.25128258,93.095,62.72515555555556
2012,Republic of Korea,6.267,,,,70.55709294,90.072,
2012,Republic of Moldova,5.791,,,,61.91331387,56.831,
2012,Romania,5.033,26767.45564871809,21.3523283781058,1.05166802858503,65.18939549,54.706,74.41054449112978
2012,Russian Federation,5.464,35740.69921875,14.8318275179914,11.2598822758413,61.12499705,78.522,68.79523556704734
2012,Rwanda,3.715,2063.664748230311,40.2514244200244,2.36382585584116,57.12656335,86.986,52.917287892316
2012,Saudi Arabia,6.48,59471.70019093943,74.6927141331945,,66.08023269,83.026,53.69970735449736
2012,Senegal,3.959,3405.10864461668,47.6952217115786,,57.66918,69.563,54.26936055088702
